,survey,order_in_survey,speaker_gender,Q02,Q03,audio,rating,rater_gender
0,1,1,M,2,4,Q1.1_1,-0.3245390854421029,M
1,1,1,M,2,3,Q1.1_1,1.2060453783110598,M
2,1,1,M,1,4,Q1.1_1,0.9089394789260838,1
3,1,1,M,1,2,Q1.1_1,-1.0467716649295356,1
4,1,1,M,1,4,Q1.1_1,0.5757663148492381,1
5,1,1,M,1,4,Q1.1_1,0.8592495254953848,1
6,1,2,F,2,4,Q2.1_1,0.49439131707534745,M
7,1,2,F,2,3,Q2.1_1,-0.8291561975888446,M
8,1,2,F,1,4,Q2.1_1,0.9089394789260838,1
9,1,2,F,1,2,Q2.1_1,-1.0467716649295356,1
10,1,2,F,1,4,Q2.1_1,1.517929375511623,1
11,1,2,F,1,4,Q2.1_1,1.7216932871450301,1
12,1,3,M,2,4,Q3.1_1,0.49439131707534745,M
13,1,3,M,2,3,Q3.1_1,-0.8291561975888446,M
14,1,3,M,1,4,Q3.1_1,0.9089394789260838,1
15,1,3,M,1,2,Q3.1_1,-1.0467716649295356,1
16,1,3,M,1,4,Q3.1_1,1.517929375511623,1
17,1,3,M,1,4,Q3.1_1,0.8592495254953848,1
18,1,4,M,2,4,Q4.1_1,0.49439131707534745,M
19,1,4,M,2,3,Q4.1_1,1.2060453783110598,M
20,1,4,M,1,4,Q4.1_1,0.9089394789260838,1
21,1,4,M,1,2,Q4.1_1,-1.0467716649295356,1
22,1,4,M,1,4,Q4.1_1,1.517929375511623,1
23,1,4,M,1,4,Q4.1_1,0.8592495254953848,1
24,1,5,M,2,4,Q5.1_1,0.49439131707534745,M
25,1,5,M,2,3,Q5.1_1,-0.8291561975888446,M
26,1,5,M,1,4,Q5.1_1,0.9089394789260838,1
27,1,5,M,1,2,Q5.1_1,-1.0467716649295356,1
28,1,5,M,1,4,Q5.1_1,1.517929375511623,1
29,1,5,M,1,4,Q5.1_1,0.8592495254953848,1
30,1,6,M,2,4,Q6.1_1,0.49439131707534745,M
31,1,6,M,2,3,Q6.1_1,-0.8291561975888446,M
32,1,6,M,1,4,Q6.1_1,0.9089394789260838,1
33,1,6,M,1,2,Q6.1_1,-1.0467716649295356,1
34,1,6,M,1,4,Q6.1_1,0.5757663148492381,1
35,1,6,M,1,4,Q6.1_1,0.8592495254953848,1
36,1,7,F,2,4,Q7.1_1,0.49439131707534745,M
37,1,7,F,2,3,Q7.1_1,-0.8291561975888446,M
38,1,7,F,1,4,Q7.1_1,1.8246620882919136,1
39,1,7,F,1,2,Q7.1_1,-1.0467716649295356,1
40,1,7,F,1,4,Q7.1_1,0.5757663148492381,1
41,1,7,F,1,4,Q7.1_1,1.7216932871450301,1
42,1,8,M,2,4,Q8.1_1,0.49439131707534745,M
43,1,8,M,2,3,Q8.1_1,-0.8291561975888446,M
