,Unnamed: 0.1,survey,filename,order_in_survey,trustworthy,lively,natural,boring,empathetic,respectful,cold,engaging,following,file_order,Flesch_reading,num_word,Gender,Intensity,Pitch,Rate,bin_trustworthy,bin_lively,bin_natural,bin_boring,bin_empathetic,bin_respectful,bin_cold,bin_engaging,bin_following,norm_trustworthy,norm_lively,norm_natural,norm_boring,norm_empathetic,norm_respectful,norm_cold,norm_engaging,norm_following,Unnamed: 0,Duration,mean_pitch,mean_intensity,speaking_rate,number,text
104,108,5,1_F_intensity_medium_pitch_high_rate_fast.wav,1,3.8,3.8,3.6,2.6,3.4,4.0,2.8,3.6,3.6,1,55.91,7,F,medium,high,fast,1,1,1,0,0,1,0,1,1,0.169417897205881,0.4773031087725846,0.3090352468271087,2.6,-0.1497817,0.4423981706330112,-0.741961571,0.1925906972909304,0.3381035113709295,665,2.061451247165533,193.11463233330656,69.00753066808414,203.739962600374,1,1
105,109,5,1_M_intensity_x-soft_pitch_low_rate_slow.wav,2,2.0,2.2,2.4,4.4,3.2,3.6,2.8,2.0,2.2,1,55.91,7,M,x-soft,low,slow,0,0,0,1,0,1,0,0,0,-1.263916216,-1.02625623,-1.020360766,4.4,-0.045008095,0.2973031087725847,-0.503468484,-1.263916216,-0.979203805,148,3.001859410430839,87.11666349305534,63.17054178017386,139.91328126180298,1,1
106,110,5,2_F_intensity_x-soft_pitch_low_rate_fast.wav,3,3.4,3.4,3.2,3.2,3.4,4.2,3.6,3.2,3.2,2,64.37,7,F,x-soft,low,fast,0,0,0,0,0,1,1,0,0,-0.329490224,-0.021605013,-0.27724916,3.2,0.024322835,0.8373031087725847,0.059286564,-0.306317424,-0.120004207,750,1.904716553287982,122.65338503616454,61.50417574390068,283.50675016071807,2,2
107,111,5,2_M_intensity_medium_pitch_medium_rate_fast.wav,4,4.0,3.8,3.4,2.6,3.8,4.2,3.8,4.0,3.8,2,64.37,7,M,medium,medium,fast,1,1,0,0,1,1,1,1,1,0.337685759,0.1000257731463066,-0.166641284,2.6,0.303198573231356,0.6223981706330112,0.3843228353454544,0.3953457451564073,0.1984861617497018,260,1.852471655328798,103.1360322890512,66.95761269941501,291.5024359194066,2,2
108,112,5,3_F_intensity_x-loud_pitch_high_rate_slow.wav,5,3.6,3.6,3.0,3.0,3.2,4.2,3.4,3.0,3.2,3,87.72,9,F,x-loud,high,slow,1,1,0,0,0,1,0,0,0,-0.132154098,0.1466628493404041,-0.416448757,3.0,-0.085808498,0.7965027061742399,0.036531516,-0.416448757,0.071436455,109,3.654920634920635,188.5822415396587,67.70659428234742,147.7460262312169,3,3
109,113,5,3_M_intensity_x-soft_pitch_medium_rate_medium.wav,6,3.6,3.8,3.6,2.4,3.2,3.6,2.4,3.0,3.6,3,87.72,9,M,x-soft,medium,medium,1,1,1,0,0,1,0,0,1,0.0302182998042258,0.5181035113709294,0.3789039139692742,2.4,-0.300713436,-0.039173824,-1.147889419,-0.602285431,0.2047993784280456,515,3.001859410430839,98.23837976,58.50514160415924,179.88850447946095,3,3
110,114,5,4_F_intensity_medium_pitch_low_rate_fast.wav,7,2.2,2.8,2.2,3.2,3.0,3.0,2.4,2.8,2.6,4,84.68,12,F,medium,low,fast,0,0,0,0,0,0,0,0,0,-1.26975289,-0.474400219,-1.212092904,3.2,-0.161096086,-0.3066089,-0.956448757,-0.503468484,-0.585008095,382,2.218185941043084,126.77699107121086,66.83954639273479,324.5895606,4,4
111,115,5,4_M_intensity_x-soft_pitch_low_rate_slow.wav,8,4.0,4.2,3.2,2.8,3.6,4.2,3.2,3.8,3.4,4,84.68,12,M,x-soft,low,slow,1,1,0,0,1,1,0,1,0,0.337685759,0.7847705681197158,-0.056740233,2.8,-0.022314241,0.6223981706330112,-0.260389576,0.3608585592364063,-0.120713436,428,3.367573696145125,102.37798660912544,62.92458264753503,213.8037842569524,4,4
112,116,5,5_F_intensity_medium_pitch_low_rate_slow.wav,9,3.0,2.6,3.2,4.2,3.2,3.2,3.6,2.8,2.6,5,84.68,12,F,medium,low,slow,0,0,0,1,0,0,1,0,0,-0.387380492,-0.677988368,0.059704317,4.2,-0.248180895,-0.248180895,0.3789039139692742,-0.509720506,-0.747380492,593,3.8377777777777777,121.66230487420896,63.10918569227093,187.6085697741749,5,5
113,117,5,5_M_intensity_x-loud_pitch_low_rate_medium.wav,10,3.6,3.8,3.4,2.8,3.6,4.0,3.0,3.2,3.2,5,84.68,12,M,x-loud,low,medium,1,1,0,0,1,1,0,0,0,-0.143886236,0.3322668377751768,-0.091645171,2.8,0.1808585592364063,0.6455709707180606,-0.323945027,-0.097540636,-0.155200622,229,2.7406349206349208,90.57408751041744,64.25521055035793,262.71284605583224,5,5
114,118,5,6_F_intensity_x-soft_pitch_medium_rate_slow.wav,11,2.2,2.4,2.4,4.0,2.8,3.4,3.6,2.2,2.2,6,31.55,6,F,x-soft,medium,slow,0,0,0,1,0,0,1,0,0,-1.258020752,-0.799203805,-0.903916216,4.0,-0.381543819,0.1989039139692743,0.3671717759147502,-1.083916216,-1.083916216,473,2.871247166,159.59734469464118,63.31983207321179,125.38105542480768,6,6
115,120,5,7_F_intensity_x-loud_pitch_medium_rate_medium.wav,13,3.8,3.8,3.2,2.8,3.6,3.4,3.4,3.6,2.8,7,104.64,9,F,x-loud,medium,medium,1,1,0,0,1,0,0,1,0,0.169417897205881,0.4773031087725846,-0.260389576,2.8,0.1757311138842248,-0.1497817,0.0533911,0.3381035113709295,-0.608180895,35,2.035328798185941,155.70017472532894,70.17689023602166,265.3133982486241,7,7
116,121,5,7_M_intensity_x-soft_pitch_low_rate_medium.wav,14,4.0,4.2,4.6,2.2,4.0,4.0,3.0,4.0,4.2,7,104.64,9,M,x-soft,low,medium,1,1,1,0,1,1,0,1,1,0.2212412096151786,0.7091264211818823,1.1738388326635367,2.2,0.4714664351768319,0.2212412096151786,-0.445517021,0.5291264211818822,0.8138388326635365,544,1.8002267573696145,85.26405601,60.91859561533631,299.9622118654743,7,7
117,122,5,8_F_intensity_x-loud_pitch_medium_rate_medium.wav,15,4.0,4.2,4.0,2.2,3.2,3.8,3.6,4.0,4.0,8,87.72,9,F,x-loud,medium,medium,1,1,1,0,0,1,1,1,1,0.337685759,0.7847705681197158,0.5117902946925856,2.2,-0.475294514,0.157685759151357,0.2682348442287639,0.5000581566380615,0.4423981706330112,336,2.636145124716553,168.56560004744995,68.25028209,204.84456448810369,8,8
118,123,5,8_M_intensity_medium_pitch_high_rate_medium.wav,16,4.0,4.4,3.8,2.0,3.4,4.2,3.6,4.4,4.4,8,87.72,9,M,medium,high,medium,1,1,1,0,0,1,1,1,1,0.1753133616646524,0.7906660325784872,0.1984861617497018,2.0,0.000858559,0.6800581566380616,0.1175945847965834,0.6859536210968329,0.9938388326635366,705,2.688390022675737,127.2955770233871,63.46373135202784,200.8637122758481,8,8
