Unnamed: 0.1,Unnamed: 0_x,filename,survey_name,order,base_name_x,text_x,Flesch_reading_x,num_word,speaker_gender,intensity,pitch,rate,complexity,trustworthy_x,lively_x,natural_x,boring_x,empathetic_x,respectful_x,cold_x,attractive_x,polite_x,engaging_x,politness,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,file_order,speaking_rate,Unnamed: 0_y,survey,order_in_survey,base_name_y,text_y,Flesch_reading_y,trustworthy_y,lively_y,natural_y,boring_y,empathetic_y,respectful_y,cold_y,attractive_y,polite_y,engaging_y
0,0,5_M_intensity_x-soft_pitch_medium_rate_medium.wav,1,1,5_M_intensity_x-soft_pitch_medium_rate_medium,5,95.17,20,M,x-soft,medium,medium,95.17,0.3575237628061131,0.2518330588457796,0.2513780733125841,0.1281522608206034,0.2690253464888411,0.304372939,0.18127475,0.3042174636924351,0.2869835695790541,0.339370900776643,0.78,4.621451247165533,74.95233668206674,152.05114692669676,100.1896569290789,13.999721105402973,98.05197487339704,198.91265513752708,0.5882352941176471,-322.248915639888,75.11142464094922,67.39978974897356,74.38191347209373,66.167885954486,0.0314966377118067,0.1142924244010094,9.227186447905208,5,259.6586950335123,0,1,1,5_M_intensity_x-soft_pitch_medium_rate_medium,5,95.17,0.8094188018211037,-0.1818430560207305,0.0055513664690004,-1.3361607480152105,0.0988988443687232,0.2904690672106575,-0.7827653593000113,0.2737855174194475,0.2256134218508662,0.6075250814277212
1,1,6_M_intensity_medium_pitch_medium_rate_slow.wav,1,2,6_M_intensity_medium_pitch_medium_rate_slow,6,97.7,15,M,medium,medium,slow,97.7,0.3577570818647561,0.3400700347166424,0.3219815317062841,0.1990812480632835,0.2514413384792249,0.3400067695500015,0.2156666115566828,0.3044645384501724,0.3043837679975736,0.3400067695500015,0.27,4.125124716553288,79.73382474006887,149.95608854298,105.18864365196768,15.28378458758724,101.477149303868,180.71095037198745,0.6210268948655256,-325.1040287908714,76.66876866458107,71.3840526674226,79.67251561185891,71.139584362523,0.0270292318242975,0.0830632989594617,11.116723982827022,6,218.17522180323,1,1,2,6_M_intensity_medium_pitch_medium_rate_slow,6,97.7,0.7257450537747934,0.4293981581164625,0.5426694360679299,-0.8193455663000733,-0.0411359439023073,0.4760854684877703,-0.2971058824368427,0.2093361027345966,0.38341031443544,0.4760854684877703
2,2,4_M_intensity_medium_pitch_low_rate_slow.wav,1,3,4_M_intensity_medium_pitch_low_rate_slow,4,87.72,19,M,medium,low,slow,87.72,0.28614354,0.2690145171406804,0.2865315103967921,0.1458917437871975,0.2160545823363739,0.2864430501933186,0.1634087370433091,0.3039354584021753,0.28614354,0.3037799834451973,0.78,5.483492063492063,74.94953832821696,484.3540483436808,95.09424358639993,68.18460953965604,80.24003811023611,215.4184388839809,0.3651376146788991,-324.32420447128,75.35038421026302,69.45122683718738,69.03815665814257,69.5255550964193,0.0270985142658811,0.0820804815889659,4.073239437134252,4,207.8967174202513,2,1,3,4_M_intensity_medium_pitch_low_rate_slow,4,87.72,0.3333868079047024,0.0059575971439408,0.3392909304772742,-1.1794424099529697,-0.291201759864271,0.1293088356237614,-0.8461090766196363,0.350476588370853,0.3333868079047024,0.3337930385796429
3,3,6_F_intensity_x-soft_pitch_high_rate_fast.wav,1,4,6_F_intensity_x-soft_pitch_high_rate_fast,6,97.7,15,F,x-soft,high,fast,97.7,0.3577425029297319,0.2699956563709394,0.2879151993417664,0.1809042848494517,0.2701757163751723,0.3053191473471496,0.1809927450529252,0.2701648870270117,0.2697099014938162,0.2873463453219125,0.27,3.0541043083900226,144.80370987806458,293.03788724589134,205.58287737550376,32.98736553076552,192.65439270418048,370.98044984481487,0.5794701986754967,-323.4843353338693,74.30501673994837,67.2792896001771,97.81300459496944,66.6154302517771,0.0250676726932091,0.073188267735446,12.431404447522656,6,294.6854164501136,3,1,4,6_F_intensity_x-soft_pitch_high_rate_fast,6,97.7,0.7794150412410059,-0.2488603971187235,0.036707071320969,-0.9160563832021186,-0.1200112667412717,0.0478927292145479,-0.7060742883486056,-0.212952513966054,-0.025558091476323,-0.0251518608013825
4,4,2_M_intensity_x-soft_pitch_low_rate_medium.wav,1,5,2_M_intensity_x-soft_pitch_low_rate_medium,2,88.74,16,M,x-soft,low,medium,88.74,0.303883022583695,0.2867540001072745,0.268792027430198,0.1283993355783407,0.2512225983556061,0.2687674423829431,0.1632532620863311,0.2512750341740863,0.2509755235978688,0.3215048874767672,0.33,4.43859410430839,74.88627596332235,613.1590530074624,128.2546662388107,132.8595497263042,89.14013675840219,445.2664904711343,0.4477272727272727,-323.4415010615599,73.17684277496055,65.91477679684374,75.9022910873308,65.13529084972947,0.0359061756252612,0.1064518483064561,6.6926721639879485,2,216.2847012904742,4,1,5,2_M_intensity_x-soft_pitch_low_rate_medium,2,88.74,0.4901051459669432,0.1626759352061816,0.1825725924150334,-1.4006101627000616,-0.0111321833222096,0.0704070118287917,-0.8627926264108465,-0.1507607409182998,0.0533172313626411,0.5441813641080963
5,5,7_F_intensity_medium_pitch_high_rate_slow.wav,1,6,7_F_intensity_medium_pitch_high_rate_slow,7,95.67,19,F,medium,high,slow,95.67,0.321296977,0.2514305091310643,0.2867640062195052,0.1814972400536674,0.23363859034599,0.3041825331599126,0.1634087370433091,0.3041825331599126,0.2689620813222002,0.3037799834451973,0.43,5.222267573696145,127.25442643945,286.9710843680477,202.9992892216509,33.212913383416826,197.98519839308187,397.158041807649,0.7109826589595376,-321.7368453523161,79.10267205031842,72.01127124333185,70.04949745162085,71.52933744128248,0.0244460022018749,0.0552374588071539,14.178983294432054,7,218.29597658726368,5,1,6,7_F_intensity_medium_pitch_high_rate_slow,7,95.67,0.6671263719129762,-0.1340771911270898,0.3285115032586359,-0.959380354571104,-0.1511669715932403,0.2860271736860021,-0.8461090766196363,0.2860271736860021,0.145586154740031,0.3337930385796429
6,6,9_F_intensity_x-soft_pitch_high_rate_medium.wav,1,7,9_F_intensity_x-soft_pitch_high_rate_medium,9,95.67,20,F,x-soft,high,medium,95.67,0.374875274993016,0.3225782364973633,0.3219045108405489,0.1466541428938376,0.2868767808536927,0.357173648909878,0.2162246362283761,0.3046978575088155,0.3748606960579919,0.3749277108114963,0.78,4.725941043083901,138.1895214995958,322.9166192210474,203.23571723494013,30.343779570841964,196.0617285054416,330.2252638138866,0.746268656716418,-323.88179001371554,76.016739036782,67.98233866556808,73.8377761308432,67.57078743220589,0.0197785725926012,0.0624228142803593,15.5551868295141,9,253.9176830731141,6,1,7,9_F_intensity_x-soft_pitch_high_rate_medium,9,95.67,0.9602330173107726,0.3527342300079498,0.5701324130777784,-1.4042566436355364,0.2159125491545609,0.7175561091186542,-0.3281881975392733,0.1256623546882864,1.013903004776985,0.8206044597146823
7,7,3_M_intensity_x-soft_pitch_high_rate_medium.wav,1,8,3_M_intensity_x-soft_pitch_high_rate_medium,3,98.21,14,M,x-soft,high,medium,98.21,0.3573682878491351,0.251620305,0.2515678688125067,0.1637228265545509,0.2871384345464542,0.2696068623553184,0.1632532620863311,0.2695922834202942,0.3224619255226644,0.3222672865834073,0.47,3.184716553287982,74.98352535143967,161.8050773244372,120.26144056828856,18.630486353149355,120.47326219356106,260.1560739491862,0.6666666666666666,-323.68304420047883,75.47326352052566,67.34282185681803,96.26945841960595,65.82774107198794,0.0293769626414472,0.1001886637452104,11.53069386200579,3,263.7597368383578,7,1,8,3_M_intensity_x-soft_pitch_high_rate_medium,3,98.21,0.7927352520298935,-0.2741391222410132,-0.134510564644923,-1.10385703636679,0.0977931470034974,-0.1818701988636233,-0.8627926264108465,-0.1282002113974108,0.3945462733367689,0.3193671304255295
8,8,1_M_intensity_medium_pitch_medium_rate_slow.wav,1,9,1_M_intensity_medium_pitch_medium_rate_slow,1,79.77,17,M,medium,medium,slow,79.77,0.2686511314082442,0.2691061169414398,0.3219815317062841,0.1632286770390763,0.1632386831513069,0.2333800762505143,0.1807456702951879,0.1984737139240436,0.233483115389012,0.2515221089318237,0.656,5.483492063492063,74.98250971345026,448.782299781736,106.8546412846188,29.37240733490389,104.60398925395955,280.1973665419471,0.5431192660550459,-319.99131651670734,79.57838744061644,72.06086730553865,68.82248897779829,71.13199669943599,0.0226382236639517,0.068477978627818,11.354621403740198,1,186.01285242864589,8,1,9,1_M_intensity_medium_pitch_medium_rate_slow,1,79.77,0.1122190551576108,-0.0751753673321201,0.5426694360679299,-0.9749582069970882,-0.809122638944634,-0.3241626287717507,-0.6416248736637549,-0.7223516074648754,-0.1678505213844504,-0.2152101556031508
9,9,8_M_intensity_x-soft_pitch_medium_rate_slow.wav,1,10,8_M_intensity_x-soft_pitch_medium_rate_slow,8,92.12,13,M,x-soft,medium,slow,92.12,0.3041155184064082,0.2512896131091106,0.3573050226824943,0.1281522608206034,0.1983150993697798,0.2692615918984178,0.1808372700959473,0.2688590421837025,0.2514696731133434,0.2865985251502965,0.6,3.654920634920635,79.72054506203592,150.04689905793964,104.41584638844472,15.252878024062747,100.27799936105497,195.2071563957167,0.5994475138121547,32.69448850617068,73.02935325690214,66.91851470620568,7.943425882705889,66.31571469443838,0.022382864635346,0.0819619760250759,8.987569293358185,8,213.4109267784244,9,1,10,8_M_intensity_x-soft_pitch_medium_rate_slow,8,92.12,0.4793257187483048,-0.2044307283845123,0.8394225624012014,-1.3361607480152105,-0.4479200979265117,-0.05849181754091,-0.7227578381398159,-0.0107259526472692,-0.0755815980070605,0.1459923854149715
