,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,survey,fname,order_in_survey,trustworthy,lively,natural,empathetic,respectful,cold,engaging,text,Flesch_reading,num_word,gender,pitch,intensity,rate,mean_pitch,mean_intensity,Duration,speaking_rate,base_name,normalized_filename
842,842,842,842,842,842,842,25,2_F_intensity_soft_pitch_medium_rate_slow.mp3,3,1.064231667,0.402068391,-0.120664678,0.09344123,0.668909863,-0.461840011,0.434616564,2,92.29,9,F,medium,medium,slow,163.84184330683624,35.35937938768439,3.263083900226757,165.48762352156328,2_F_intensity_medium_pitch_medium_rate_slow,2_F_intensity_medium_pitch_medium_rate_slow.mp3
843,843,843,843,843,843,843,25,2_M_intensity_loud_pitch_medium_rate_medium.mp3,4,1.298524966,0.957349633,0.616174299,0.274998966,1.031683494,-0.407693541,0.456214862,2,92.29,9,M,medium,medium,medium,102.83153389604016,31.749127038670363,2.4794104308390024,217.7937114740905,2_M_intensity_medium_pitch_medium_rate_medium,2_M_intensity_medium_pitch_medium_rate_medium.mp3
844,844,844,844,844,844,844,25,3_F_intensity_loud_pitch_low_rate_slow.mp3,5,0.508950425,0.476402253,0.18937339,-0.247734103,0.434616564,-0.429291838,0.167775092,3,100.24,5,F,low,medium,slow,130.2686024864162,69.97937429768544,1.4867573696145124,201.78141109721503,3_F_intensity_medium_pitch_low_rate_slow,3_F_intensity_medium_pitch_low_rate_slow.mp3
845,845,845,845,845,845,845,25,3_M_intensity_soft_pitch_low_rate_slow.mp3,6,0.146176794,0.434616564,0.32773453,-0.429291838,0.668909863,-0.120664678,0.434616564,3,100.24,5,M,low,medium,slow,197.2395912431483,64.32057589341056,1.3039002267573696,230.0789537755209,3_M_intensity_medium_pitch_low_rate_slow,3_M_intensity_medium_pitch_low_rate_slow.mp3
846,846,846,846,846,846,846,25,4_F_intensity_loud_pitch_low_rate_slow.mp3,7,0.434616564,-0.066518207,-0.962974782,-0.536173873,-0.088116505,-0.69613331,-0.120664678,4,115.13,7,F,low,medium,slow,127.41225219619903,69.48788176445089,1.878594104,223.57144581512688,4_F_intensity_medium_pitch_low_rate_slow,4_F_intensity_medium_pitch_low_rate_slow.mp3
847,847,847,847,847,847,847,25,4_M_intensity_loud_pitch_low_rate_fast.mp3,8,0.09344123,-0.013440804,0.146176794,0.09344123,0.668909863,-0.461840011,0.09344123,4,115.13,7,M,low,medium,fast,91.78296727777904,67.67924131909622,1.1210430839002268,374.6510781180468,4_M_intensity_medium_pitch_low_rate_fast,4_M_intensity_medium_pitch_low_rate_fast.mp3
848,848,848,848,848,848,848,25,5_F_intensity_soft_pitch_medium_rate_fast.mp3,9,-0.280624115,-1.485707851,-1.485707851,-0.962974782,-0.835905357,-1.730951025,-1.144532517,5,100.24,5,F,medium,medium,fast,163.7127656,64.03653444375936,0.940408163,319.01041666666674,5_F_intensity_medium_pitch_medium_rate_fast,5_F_intensity_medium_pitch_medium_rate_fast.mp3
849,849,849,849,849,849,849,25,5_M_intensity_soft_pitch_high_rate_slow.mp3,10,0.018765529,-0.556703103,-1.186318206,-0.770467172,0.200323265,-0.930426609,-1.133582643,5,100.24,5,M,high,medium,slow,119.08585277327494,65.31893398270022,1.565124716553288,191.67801570513748,5_M_intensity_medium_pitch_high_rate_slow,5_M_intensity_medium_pitch_high_rate_slow.mp3
850,850,850,850,850,850,850,25,6_F_intensity_soft_pitch_high_rate_fast.mp3,11,-0.033970035,-0.322409804,-0.930426609,-0.69613331,-0.567652978,-1.730951025,-0.589251276,6,106.67,14,F,high,medium,fast,209.97700130596337,25.23566254493419,2.873469387755102,292.3295454545455,6_F_intensity_medium_pitch_high_rate_fast,6_F_intensity_medium_pitch_high_rate_fast.mp3
851,851,851,851,851,851,851,25,6_M_intensity_loud_pitch_medium_rate_medium.mp3,12,0.957349633,0.957349633,0.616174299,0.349332827,0.690508161,-0.707083185,0.957349633,6,106.67,14,M,medium,medium,medium,103.19978903344342,37.49759758007075,3.001859410430839,279.826562523606,6_M_intensity_medium_pitch_medium_rate_medium,6_M_intensity_medium_pitch_medium_rate_medium.mp3
