,trustworthy,lively,natural,empathetic,respectful,cold,engage,gender,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness to Experience
110,0.817379324,0.408104083,0.660360751,-0.162910209,0.555681702,-0.072392591,0.555681702,1,4,5,5.5,6,4.5
111,0.31819436,1.090833838,0.090947455,0.545441266,1.411149172,-0.233707212,-0.270477927,1,5.5,4.5,4,3,6
112,1.175440659,0.259816131,0.463102302,-0.404903179,0.329434265,-0.007519943,0.946534527,2,5,5.5,5.5,5.5,6
113,0.816079301,0.321426981,-0.241081369,1.006555492,1.333942011,-0.418465661,0.181543245,2,2,4.5,5,3.5,5
114,0.872407018,0.470859854,0.52620012,0.514618292,0.391064196,-0.623101106,0.609856388,1,5,5,6,4.5,4.5
115,0.797460386,0.592340473,0.515433982,0.105194158,0.63263766,-0.286714063,0.31031407,2,5,4.5,6,6,5
116,0.651707904,0.464223466,0.431563181,0.241086991,0.785589789,-0.112939618,0.157815905,1,5,5,6,5.5,4
117,1.006242924,0.558424099,0.450354406,0.561631998,0.348700512,-0.763076524,0.599627348,1,5.5,5.5,5.5,5.5,4.5
118,1.371905143,0.462104254,0.067708444,-0.854978032,1.012242794,-0.35245854,0.864904508,2,3,5.5,5.5,5.5,4.5
119,0.708720827,0.001605414,0.049224462,0.355163121,0.667950448,0.045800128,0.314392742,2,4,4.5,4.5,4.5,4
120,0.855177223,0.266764948,0.390918458,0.233603608,0.855177223,-0.452572759,0.755693202,1,4.5,6,6,6,6
121,0.501885748,0.703464868,-0.011314491,-0.058933538,0.399245701,0.549504796,0.963765964,2,3.5,3.5,5,4.5,3.5
122,0.575575621,0.689975814,1.394966676,0.356451682,0.232565839,-1.177606683,0.832832956,2,3.5,5.5,5.5,5,4.5
123,1.193351661,-0.167224017,-0.196837712,0.296172441,0.421024231,0.682336155,0.914034384,2,4.5,4,4.5,4.5,4
124,0.313918235,0.06057265,0.662501915,0.06057265,0.514561324,0.461858827,1.164109637,1,3.5,4,4,3.5,3.5
125,-0.498967837,0.885398976,1.171844925,0.933261911,0.551333978,0.026061127,0.12154311,2,3.5,4,4.5,4,4
126,0.420278436,0.372312833,0.193308209,0.599283059,0.885690457,-0.081281065,0.372312833,1,2.5,4,5.5,5,4.5
127,0.507020011,0.508034032,0.063755264,0.687872986,0.867711941,-0.258940833,0.291213266,2,6,5.5,4,5,4
128,0.725419605,0.127758348,0.528575449,0.114261594,0.236493197,0.03964904,1.275461815,2,3.5,4.5,4.5,4.5,3.5
